,Tag,Message_stop,Message_length_stop,Number_count
0,0,"Go jurong point, crazy.. Available bugis n great world la e buffet... Cine got amore wat...",91,0
1,0,Ok lar... Joking wif u oni...,29,0
2,1,Free entry 2 wkly comp win FA Cup final tkts 21st May 2005. Text FA 87121 receive entry question(std txt rate)T&C's apply 08452810075over18's,141,25
3,0,U dun say early hor... U c already say...,41,0
4,0,"Nah I think goes usf, lives around though",41,0
5,1,"FreeMsg Hey darling 3 week's word back! I'd like fun still? Tb ok! XxX std chgs send, å£1.50 rcv",96,4
6,0,Even brother like speak me. They treat like aids patent.,56,0
7,0,As per request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' set callertune Callers. Press *9 copy friends Callertune,122,1
8,1,WINNER!! As valued network customer selected receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,139,19
9,1,Had mobile 11 months more? U R entitled Update latest colour mobiles camera Free! Call The Mobile Update Co FREE 08002986030,124,13
10,0,"I'm gonna home soon want talk stuff anymore tonight, k? I've cried enough today.",80,0
11,1,"SIX chances win CASH! From 100 20,000 pounds txt> CSH11 send 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",123,22
12,1,"URGENT! You 1 week FREE membership å£100,000 Prize Jackpot! Txt word: CLAIM No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",131,20
13,0,I've searching right words thank breather. I promise wont take help granted fulfil promise. You wonderful blessing times.,121,0
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,0
15,1,"XXXMobileMovieClub: To use credit, click WAP link next txt message click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",130,0
16,0,Oh k...i'm watching here:),26,0
17,0,Eh u remember 2 spell name... Yes did. He v naughty make v wet.,63,1
18,0,Fine thatåÕs way u feel. ThatåÕs way gota b,43,0
19,1,"England v Macedonia - dont miss goals/team news. Txt ur national team 87077 eg ENGLAND 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",146,23
20,0,Is seriously spell name?,24,0
21,0,IÛ÷m going try 2 months ha ha joking,37,1
22,0,So Ì_ pay first lar... Then da stock comin...,45,0
23,0,Aft finish lunch go str lor. Ard 3 smth lor. U finish ur lunch already?,71,1
24,0,Ffffffffff. Alright way I meet sooner?,38,0
25,0,Just forced eat slice. I'm really hungry tho. This sucks. Mark getting worried. He knows I'm sick I turn pizza. Lol,115,0
26,0,Lol always convincing.,22,0
27,0,Did catch bus ? Are frying egg ? Did make tea? Are eating mom's left dinner ? Do feel Love ?,92,0
28,0,"I'm back &amp; we're packing car now, I'll let know there's room",64,0
29,0,Ahhh. Work. I vaguely remember that! What feel like? Lol,56,0
30,0,"Wait that's still clear, sure sarcastic that's x want live us",61,0
31,0,Yeah got 2 v apologetic. n fallen actin like spoilt child got caught that. Till 2! But go there! Not badly cheers. You?,119,2
32,0,K tell anything you.,20,0
33,0,For fear fainting housework did? Quick cuppa,44,0
34,1,Thanks subscription Ringtone UK mobile charged å£5/month Please confirm replying YES NO. If reply NO charged,108,1
35,0,Yup... Ok go home look timings msg Ì_ again... Xuhui going learn 2nd may lesson 8am,83,2
36,0,"Oops, I'll let know roommate's done",35,0
37,0,I see letter B car,18,0
38,0,Anything lor... U decide...,27,0
39,0,Hello! How's saturday go? I texting see decided anything tomo. Not i'm trying invite anything!,94,0
40,0,Pls go ahead watts. I wanted sure. Do great weekend. Abiola,59,0
41,0,"Did I forget tell ? I want , I need you, I crave ... But ... I love sweet Arabian steed ... Mmmmmm ... Yummy",108,0
42,1,07732584351 - Rodger Burns - MSG = We tried call reply sms free nokia mobile + free camcorder. Please call 08000930705 delivery tomorrow,136,22
43,0,WHO ARE YOU SEEING?,19,0
44,0,Great! I hope like man well endowed. I &lt;#&gt; inches...,58,0
45,0,No calls..messages..missed calls,32,0
46,0,Didn't get hep b immunisation nigeria.,38,0
47,0,"Fair enough, anything going on?",31,0
48,0,"Yeah hopefully, tyler can't I could maybe ask around bit",56,0
49,0,U know stubborn I am. I even want go hospital. I kept telling Mark I'm weak sucker. Hospitals weak suckers.,107,0
50,0,What thinked me. First time saw class.,38,0
51,0,"A gram usually runs like &lt;#&gt; , half eighth smarter though gets almost whole second gram &lt;#&gt;",103,0
52,0,K fyi x ride early tomorrow morning he's crashing place tonight,63,0
53,0,"Wow. I never realized embarassed accomodations. I thought liked it, since best could always seemed happy \the cave\"". I'm sorry I give. I'm sorry offered. I'm sorry room embarassing.""",183,0
54,1,SMS. ac Sptv: The New Jersey Devils Detroit Red Wings play Ice Hockey. Correct Incorrect? End? Reply END SPTV,109,0
